"","id","name_long","bev_total","bev_male","bev_female"
"463","08226036","Ilvesheim",9346,4558,4788
"464","08226037","Ketsch",12762,6167,6595
"465","08226038","Ladenburg, Stadt",11537,5567,5970
"466","08226040","Laudenbach",6355,3200,3155
"467","08226041","Leimen, Stadt",26968,13294,13674
"468","08226046","Malsch",3516,1751,1765
"469","08226048","Mauer",4006,1919,2087
"470","08226049","Meckesheim",5230,2623,2607
"471","08226054","Mühlhausen",8571,4318,4253
"472","08226055","Neckarbischofsheim, Stadt",4040,2045,1995
"473","08226056","Neckargemünd, Stadt",13290,6501,6789
"474","08226058","Neidenstein",1773,893,880
"475","08226059","Neulußheim",7127,3581,3546
"476","08226060","Nußloch",11325,5649,5676
"477","08226062","Oftersheim",12140,5931,6209
"478","08226063","Plankstadt",10321,5005,5316
"479","08226065","Rauenberg, Stadt",8693,4323,4370
"480","08226066","Reichartshausen",2079,1028,1051
"481","08226068","Reilingen",7630,3832,3798
"482","08226076","Sandhausen",15105,7387,7718
"483","08226080","Schönau, Stadt",4438,2210,2228
"484","08226081","Schönbrunn",2837,1398,1439
"485","08226082","Schriesheim, Stadt",15081,7318,7763
"486","08226084","Schwetzingen, Stadt",21433,10375,11058
"487","08226085","Sinsheim, Stadt",35442,17703,17739
"488","08226086","Spechbach",1699,832,867
"489","08226091","Waibstadt, Stadt",5682,2779,2903
"490","08226095","Walldorf, Stadt",15534,7692,7842
"491","08226096","Weinheim, Stadt",45284,22154,23130
"492","08226097","Wiesenbach",3119,1532,1587
"493","08226098","Wiesloch, Stadt",26758,13325,13433
"494","08226099","Wilhelmsfeld",3164,1539,1625
"495","08226101","Zuzenhausen",2217,1099,1118
"496","08226102","Angelbachtal",5111,2489,2622
"497","08226103","St. Leon-Rot",13734,6824,6910
"498","08226104","Lobbach",2359,1174,1185
"499","08226105","Edingen-Neckarhausen",14238,6936,7302
"500","08226106","Helmstadt-Bargen",3739,1887,1852
"501","08226107","Hirschberg an der Bergstraße",9885,4806,5079
